exp;video;id;mother track;daughter track(s);metaphase frame - mitosis video;cytokinesis frame - mitosis video;first MT cut frame - mitosis video;second MT cut frame - mitosis video;metaphase frame;cytokinesis frame;first MT cut frame;second MT cut frame;position midbody x;position midbody y;first MT cut time;second MT cut time;;matched cytokinesis frame;matched cut frame;matched position midbody x;matched position midbody y
EXP1;Control-2;7;68;228;10;11;TOO_SHORT_CUT;TOO_SHORT_CUT;184;185;TOO_SHORT_CUT;TOO_SHORT_CUT;790;1012;;;;-1;-1;-1;-1
EXP1;Control-2;8;47;161;11;12;22;NO_CUT_DETECTED;140;141;151;NO_CUT_DETECTED;542;981;100;;;-1;-1;-1;-1
EXP1;Control-2;9;2;158;11;12;TOO_SHORT_CUT;TOO_SHORT_CUT;139;140;TOO_SHORT_CUT;TOO_SHORT_CUT;599;451;;;;140;150;626;539
EXP1;Control-3;0;261;345;-11;14;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;215;240;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;Control-3;10;224;265;-5;11;TOO_SHORT_CUT;TOO_SHORT_CUT;166;182;TOO_SHORT_CUT;TOO_SHORT_CUT;167;1029;;;;-1;-1;-1;-1
EXP1;Control-3;11;95;240;6;11;24;26;167;172;185;187;1063;564;130;150;;173;185;1066;561
EXP1;Control-3;12;25;239;8;12;26;28;167;171;185;187;1067;558;140;160;;-1;-1;-1;-1
EXP1;Control-3;13;83;219;8;11;TOO_SHORT_CUT;TOO_SHORT_CUT;159;162;TOO_SHORT_CUT;TOO_SHORT_CUT;1024;975;;;;-1;-1;-1;-1
EXP1;Control-3;14;164;215,214;8;14;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;153;159;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;1473;58;;;;-1;-1;-1;-1
EXP1;Control-3;15;9;213;-2;19;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;137;158;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;Control-3;16;109;206;7;18;TOO_SHORT_CUT;TOO_SHORT_CUT;143;154;TOO_SHORT_CUT;TOO_SHORT_CUT;772;37;;;;-1;-1;-1;-1
EXP1;Control-3;17;46;202,194;8;13;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;140;145;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;378;327;;;;-1;-1;-1;-1
EXP1;Control-3;18;54;200;10;10;TOO_SHORT_CUT;TOO_SHORT_CUT;149;149;TOO_SHORT_CUT;TOO_SHORT_CUT;870;450;;;;151;158;870;453
EXP1;Control-3;19;15;198;9;12;27;27;145;148;163;163;316;520;150;150;;148;164;325;522
EXP1;Control-3;1;194;314;6;8;TOO_SHORT_CUT;TOO_SHORT_CUT;214;216;TOO_SHORT_CUT;TOO_SHORT_CUT;269;101;;;;-1;-1;-1;-1
EXP1;Control-3;20;6;196;8;11;TOO_SHORT_CUT;TOO_SHORT_CUT;144;147;TOO_SHORT_CUT;TOO_SHORT_CUT;1235;330;;;;148;155;1289;323
EXP1;Control-3;21;28;190;-1;14;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;127;142;NO_MID_BODY_DETECTED;NO_MID_BODY_DETECTED;-1;-1;;;;-1;-1;-1;-1
EXP1;Control-3;22;72;184;9;12;TOO_SHORT_CUT;TOO_SHORT_CUT;137;140;TOO_SHORT_CUT;TOO_SHORT_CUT;596;57;;;;-1;-1;-1;-1
EXP1;Control-3;23;32;175;9;12;TOO_SHORT_CUT;TOO_SHORT_CUT;127;130;TOO_SHORT_CUT;TOO_SHORT_CUT;960;1086;;;;130;140;901;1044
EXP1;Control-3;24;150;170;7;12;24;24;123;128;140;140;442;663;120;120;;128;140;400;696
EXP1;Control-3;25;57;158,157;11;13;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;119;121;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;1517;648;;;;121;140;1448;648
EXP1;Control-3;26;81;150,144;8;12;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;105;109;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;710;542;;;;110;120;708;546
EXP1;Control-3;27;16;134;7;12;NO_CUT_DETECTED;NO_CUT_DETECTED;99;104;NO_CUT_DETECTED;NO_CUT_DETECTED;226;667;;;;105;117;212;664
EXP1;Control-3;28;23;132;7;18;NEAR_BORDER;NEAR_BORDER;91;102;NEAR_BORDER;NEAR_BORDER;141;730;;;;-1;-1;-1;-1
